epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6775,1.76124,8.19496,3.51933,1.81746,0,0,0,0,0,0,0,0,0,0.85445,7.81503,3.0841,1.41552,0,8.335e-05,8.335e-05,8.335e-05
2,72.4729,1.70109,6.23069,3.55278,1.80658,0,0,0,0,0,0,0,0,0,0.88199,3.50357,3.03636,1.38754,0,0.000179739,0.000179739,0.000179739
3,76.3407,1.10236,2.60159,2.97063,1.34609,0,0,0,0,0,0,0,0,0,0.70661,3.35398,2.98651,1.22332,0,0.000272168,0.000272168,0.000272168
4,80.1445,0.96082,2.14452,2.42446,1.2332,0,0,0,0,0,0,0,0,0,0.79921,2.72531,2.97959,1.30938,0,0.000360635,0.000360635,0.000360635
5,83.9885,0.97088,1.98381,2.0187,1.21284,0,0,0,0,0,0,0,0,0,0.77209,3.16481,2.93361,1.25851,0,0.000445142,0.000445142,0.000445142
6,87.8058,0.93647,1.87677,1.71457,1.1931,0,0,0,0,0,0,0,0,0,1.05542,6.07815,2.91173,1.52679,0,0.000525688,0.000525688,0.000525688
7,91.6059,0.891,1.76887,1.5149,1.14738,0,0,0,0,0,0,0,0,0,0.79491,6.10055,2.88515,1.31214,0,0.000602274,0.000602274,0.000602274
8,95.4332,0.89509,1.73898,1.3626,1.1213,0,0,0,0,0,0,0,0,0,1.60687,5.54518,3.15281,2.01155,0,0.000674898,0.000674898,0.000674898
9,99.3539,0.88671,1.72002,1.35982,1.12252,0,0,0,0,0,0,0,0,0,1.59953,6.85774,3.22442,2.21144,0,0.000743562,0.000743562,0.000743562
10,103.191,0.86074,1.60794,1.21877,1.03704,0,0,0,0,0,0,0,0,0,1.31068,7.39943,2.94052,1.81156,0,0.000808265,0.000808265,0.000808265
11,107.14,0.80843,1.62944,1.20442,1.06824,0,0,0,0,0,0,0,0,0,1.2919,4.84162,2.28951,1.79365,0,0.000869007,0.000869007,0.000869007
12,110.959,0.81513,1.55872,1.17613,1.05528,0,0,0,0,0,0,0,0,0,0.84323,3.14455,2.21996,1.26744,0,0.000925788,0.000925788,0.000925788
13,114.727,0.8166,1.51468,1.12124,1.03331,0,0,0,0,0,0,0,0,0,0.82579,3.4067,2.18382,1.22078,0,0.000978609,0.000978609,0.000978609
14,118.459,0.83583,1.5034,1.15675,1.04633,0,0,0,0,0,0,0,0,0,0.76592,3.17476,1.86593,1.18925,0,0.00102747,0.00102747,0.00102747
15,122.4,0.79745,1.53565,1.05654,1.0126,0,0.5,0.19167,0.1925,0.18108,0.17391,0.06667,0.027,0.0027,0.74658,3.06165,1.64142,1.16455,0,0.00107237,0.00107237,0.00107237
16,126.316,0.81214,1.53174,1.05371,1.0238,0,0,0,0,0,0,0,0,0,0.77616,2.80214,1.77366,1.20593,0,0.00111331,0.00111331,0.00111331
17,130.043,0.82573,1.55691,1.07959,1.05586,0,0.5,0.03333,0.0325,0.02944,0.25,0.01667,0.0175,0.00175,0.70107,2.36601,1.66828,1.11862,0,0.00113889,0.00113889,0.00113889
18,133.87,0.79708,1.56754,1.00636,1.0331,0,0.5,0.04,0.0375,0.02425,0.5,0.04,0.0375,0.03,0.76138,2.49756,1.94859,1.14973,0,0.00110589,0.00110589,0.00110589
19,137.782,0.77961,1.44953,0.98537,1.00516,0,0.5,0.06,0.0575,0.04025,0.5,0.06,0.0575,0.02933,0.72146,2.50009,2.28023,1.18168,0,0.00107288,0.00107288,0.00107288
20,141.661,0.80193,1.39882,0.99049,1.01192,0,0.5,0.17,0.1675,0.12187,0.5,0.17,0.1675,0.08719,0.7221,2.21638,1.77062,1.10664,0,0.00103987,0.00103987,0.00103987
21,145.754,0.74244,1.39511,0.93155,0.99417,0,0.88333,0.38,0.37133,0.31824,0.66111,0.31333,0.27659,0.12511,0.64941,2.14079,1.45187,1.0629,0,0.00100687,0.00100687,0.00100687
22,149.75,0.74385,1.35006,0.86641,0.99285,0,0.86585,0.35833,0.34488,0.26708,0.86585,0.35833,0.34488,0.17597,0.69931,1.71031,1.36532,1.09612,0,0.000973861,0.000973861,0.000973861
23,153.646,0.70012,1.30956,0.88068,0.99724,0,0.875,0.35833,0.355,0.26829,0.80357,0.35,0.34429,0.1956,0.75568,1.66863,1.3042,1.0827,0,0.000940855,0.000940855,0.000940855
24,157.538,0.73862,1.32394,0.86866,1.02301,0,0.86667,0.34667,0.33757,0.24725,0.86667,0.34667,0.33757,0.20904,0.77174,1.44374,1.42704,1.0483,0,0.000907848,0.000907848,0.000907848
25,161.499,0.74551,1.31241,0.87856,0.99621,0,0.84884,0.525,0.5105,0.43282,0.77476,0.49167,0.47112,0.21396,0.7525,1.45368,1.22551,1.04308,0,0.000874842,0.000874842,0.000874842
26,165.56,0.71842,1.25959,0.82208,0.98391,0,0.93334,0.8,0.795,0.71392,0.92501,0.79167,0.78542,0.29843,0.71207,1.33769,0.90295,1.04214,0,0.000841835,0.000841835,0.000841835
27,169.549,0.7331,1.30456,0.82738,0.97394,0,0.91407,0.8,0.78757,0.68364,0.81407,0.7,0.65966,0.2573,0.67174,1.43146,0.85318,1.02745,0,0.000808828,0.000808828,0.000808828
28,173.631,0.67453,1.21614,0.76936,0.95463,0,0.83438,0.8,0.72501,0.61572,0.7925,0.75833,0.67319,0.22251,0.64991,1.54919,1.03828,1.01553,0,0.000775822,0.000775822,0.000775822
29,177.704,0.65943,1.23318,0.78029,0.96302,0,0.82204,0.81,0.87004,0.73031,0.81274,0.80167,0.86337,0.34153,0.64183,1.41184,1.02054,1.00267,0,0.000742815,0.000742815,0.000742815
30,181.807,0.67097,1.21451,0.74806,0.96267,0,0.95561,0.80793,0.91471,0.77068,0.95561,0.80793,0.91471,0.41818,0.64987,1.39075,1.02881,1.00405,0,0.000709809,0.000709809,0.000709809
31,186.084,0.64791,1.21414,0.73942,0.94121,0,0.88789,0.8,0.90712,0.78213,0.88789,0.8,0.90712,0.38817,0.63245,1.41488,1.00146,0.99662,0,0.000676802,0.000676802,0.000676802
32,190.241,0.64676,1.19601,0.73732,0.94269,0,0.87964,0.81549,0.90032,0.77835,0.87964,0.81549,0.90032,0.38348,0.62894,1.33065,1.04903,0.98165,0,0.000643795,0.000643795,0.000643795
33,194.292,0.67196,1.21476,0.74431,0.96526,0,0.83801,0.82,0.89304,0.74402,0.83801,0.82,0.89304,0.3716,0.73761,1.3472,1.14399,1.02667,0,0.000610789,0.000610789,0.000610789
34,198.415,0.63488,1.14785,0.69023,0.93696,0,0.89349,0.87,0.88065,0.77576,0.88515,0.86167,0.87024,0.37278,0.58707,1.21465,0.83363,0.9933,0,0.000577782,0.000577782,0.000577782
35,202.408,0.64812,1.19098,0.72858,0.97531,0,0.88075,0.87,0.85907,0.74732,0.87242,0.86167,0.84865,0.37562,0.55018,1.22915,0.76366,0.96907,0,0.000544776,0.000544776,0.000544776
36,206.509,0.61728,1.1353,0.69787,0.94935,0,0.96189,0.8,0.89352,0.70101,0.96189,0.8,0.89352,0.33315,0.70513,1.50068,0.85352,1.00433,0,0.000511769,0.000511769,0.000511769
37,210.595,0.59467,1.11685,0.65585,0.92991,0,0.76966,0.98,0.89912,0.69098,0.76966,0.98,0.89912,0.34275,0.71213,1.41461,0.82728,0.99817,0,0.000478762,0.000478762,0.000478762
38,214.745,0.62248,1.16595,0.68654,0.93688,0,0.98688,0.8,0.90001,0.74003,0.98688,0.8,0.90001,0.42859,0.69319,1.26084,0.73108,0.99319,0,0.000445756,0.000445756,0.000445756
39,218.825,0.62198,1.17181,0.65444,0.92368,0,0.88055,0.91418,0.91326,0.7615,0.88055,0.91418,0.91326,0.45038,0.65671,1.24252,0.69506,0.97468,0,0.000412749,0.000412749,0.000412749
40,223.152,0.61571,1.10421,0.66649,0.94807,0,0.95107,0.89,0.89048,0.80899,0.95107,0.89,0.89048,0.44881,0.49771,1.18528,0.59674,0.92369,0,0.000379743,0.000379743,0.000379743
41,230.545,0.636,1.07913,1.07573,0.94761,0,0.97141,0.9,0.89476,0.81097,0.97141,0.9,0.89476,0.46437,0.51477,1.21554,0.61498,0.92921,0,0.000346736,0.000346736,0.000346736
42,234.822,0.56714,1.03979,0.96612,0.92909,0,1,0.87,0.865,0.75396,1,0.87,0.865,0.41774,0.61993,1.30355,0.65205,0.96969,0,0.000313729,0.000313729,0.000313729
43,238.853,0.56081,1.04851,0.92926,0.90516,0,1,0.8,0.795,0.70791,1,0.8,0.795,0.37547,0.61147,1.23694,0.69931,0.97008,0,0.000280723,0.000280723,0.000280723
44,242.842,0.56888,1.02007,1.02666,0.89572,0,1,0.8,0.795,0.7266,1,0.8,0.795,0.37101,0.55153,1.15225,0.76495,0.94506,0,0.000247716,0.000247716,0.000247716
45,246.758,0.56385,0.99551,0.96273,0.91495,0,1,0.8,0.795,0.72534,1,0.8,0.795,0.35233,0.523,1.15317,0.74373,0.9349,0,0.00021471,0.00021471,0.00021471
46,250.79,0.56446,0.96333,0.90993,0.90208,0,1,0.8,0.795,0.73822,1,0.8,0.795,0.37158,0.51971,1.19477,0.69223,0.94329,0,0.000181703,0.000181703,0.000181703
47,254.697,0.51261,0.99142,0.88545,0.89699,0,1,0.8,0.795,0.73583,1,0.8,0.795,0.37025,0.52401,1.23365,0.6788,0.94864,0,0.000148696,0.000148696,0.000148696
48,258.659,0.54711,0.9723,0.84934,0.8991,0,0.94595,0.83,0.82274,0.75427,0.94595,0.83,0.82274,0.37861,0.53924,1.27757,0.69744,0.9498,0,0.00011569,0.00011569,0.00011569
49,262.581,0.54772,0.95601,0.83092,0.91055,0,0.9375,0.85,0.84148,0.76558,0.9375,0.85,0.84148,0.38969,0.53635,1.27942,0.7023,0.94634,0,8.26832e-05,8.26832e-05,8.26832e-05
50,266.558,0.51362,0.93065,0.80698,0.88153,0,0.91304,0.88,0.86873,0.78469,0.91304,0.88,0.86873,0.41028,0.53987,1.28211,0.70031,0.94603,0,4.96766e-05,4.96766e-05,4.96766e-05
